sensor_1,20.67 Kwh
sensor_2,20.06 Kwh
sensor_4,15.72 Kwh
sensor_7,14.0 Kwh
sensor_11,19.98 Kwh
sensor_9,14.74 Kwh
sensor_10,14.84 Kwh
sensor_1,13.88 Kwh
sensor_2,7.73 Kwh
sensor_13,19.38 Kwh
sensor_3,6.64 Kwh
sensor_12,17.09 Kwh
sensor_6,14.19 Kwh
sensor_5,17.66 Kwh
sensor_43,20.08 Kwh
sensor_1,19.09 Kwh
sensor_9,20.15 Kwh
sensor_44,13.98 Kwh
sensor_30,20.55 Kwh
sensor_26,19.05 Kwh
sensor_28,20.71 Kwh
sensor_35,17.9 Kwh
sensor_38,8.85 Kwh
sensor_14,20.6 Kwh
sensor_8,14.18 Kwh
sensor_24,19.94 Kwh
sensor_5,8.65 Kwh
sensor_56,11.84 Kwh
sensor_20,21.45 Kwh
sensor_21,3.73 Kwh
sensor_19,13.62 Kwh
sensor_53,17.63 Kwh
sensor_48,9.36 Kwh
sensor_27,9.43 Kwh
sensor_39,12.49 Kwh
sensor_47,10.83 Kwh
sensor_42,8.86 Kwh
sensor_25,12.01 Kwh
sensor_17,11.58 Kwh
sensor_16,13.19 Kwh
sensor_52,11.64 Kwh
sensor_18,11.66 Kwh
sensor_29,11.69 Kwh
sensor_23,8.57 Kwh
sensor_40,17.29 Kwh
sensor_10,13.4 Kwh
sensor_55,15.76 Kwh
sensor_15,11.09 Kwh
sensor_12,3.99 Kwh
sensor_11,15.92 Kwh
sensor_50,5.81 Kwh
sensor_4,12.49 Kwh
sensor_49,15.82 Kwh
sensor_41,7.43 Kwh
sensor_37,2.78 Kwh
sensor_13,20.76 Kwh
sensor_2,21.64 Kwh
sensor_34,5.46 Kwh
sensor_45,13.39 Kwh
sensor_51,7.9 Kwh
sensor_3,3.91 Kwh
sensor_22,16.51 Kwh
sensor_6,20.04 Kwh
sensor_7,5.02 Kwh
sensor_54,9.59 Kwh
sensor_46,6.84 Kwh
sensor_36,20.17 Kwh
