2021-01-28T12:41:42-0300 [-] Creating router ...
2021-01-28T12:41:42-0300 [-] Initializing Router - Number of events: 1
2021-01-28T12:41:42-0300 [-] Initializing Server - Number of events: 2
2021-01-28T12:41:42-0300 [-] Initializing Client - Number of events: 3
2021-01-28T12:41:43-0300 [-] Initializing sink node - Number of events: 4
2021-01-28T12:41:43-0300 [-] Initializing sensor node - Number of events: 5
2021-01-28T12:41:44-0300 [-] Initializing sensor node - Number of events: 6
2021-01-28T12:41:44-0300 [-] Initializing sensor node - Number of events: 7
2021-01-28T12:41:45-0300 [-] Initializing sensor node - Number of events: 8
2021-01-28T12:41:45-0300 [-] Initializing sensor node - Number of events: 9
2021-01-28T12:41:46-0300 [-] Initializing sensor node - Number of events: 10
2021-01-28T12:41:46-0300 [-] Initializing sensor node - Number of events: 11
2021-01-28T12:41:47-0300 [-] Initializing sensor node - Number of events: 12
2021-01-28T12:41:47-0300 [-] Initializing sensor node - Number of events: 13
2021-01-28T12:41:48-0300 [-] Initializing sensor node - Number of events: 14
2021-01-28T12:41:48-0300 [-] Initializing sensor node - Number of events: 15
2021-01-28T12:41:49-0300 [-] Initializing sensor node - Number of events: 16
2021-01-28T12:41:49-0300 [-] Initializing sensor node - Number of events: 17
2021-01-28T12:41:50-0300 [-] Initializing sensor node - Number of events: 18
2021-01-28T12:41:50-0300 [-] Initializing sensor node - Number of events: 19
2021-01-28T12:41:51-0300 [-] Initializing sensor node - Number of events: 20
2021-01-28T12:41:51-0300 [-] Initializing sensor node - Number of events: 21
2021-01-28T12:41:52-0300 [-] Initializing sensor node - Number of events: 22
2021-01-28T12:41:52-0300 [-] Initializing sensor node - Number of events: 23
2021-01-28T12:41:53-0300 [-] Initializing sensor node - Number of events: 24
2021-01-28T12:41:53-0300 [-] Initializing sensor node - Number of events: 25
2021-01-28T12:41:54-0300 [-] Initializing sensor node - Number of events: 26
2021-01-28T12:41:54-0300 [-] Initializing sensor node - Number of events: 27
2021-01-28T12:41:55-0300 [-] Initializing sensor node - Number of events: 28
2021-01-28T12:41:55-0300 [-] Initializing sensor node - Number of events: 29
2021-01-28T12:41:56-0300 [-] Initializing sensor node - Number of events: 30
2021-01-28T12:41:56-0300 [-] Initializing sensor node - Number of events: 31
2021-01-28T12:41:57-0300 [-] Initializing sensor node - Number of events: 32
2021-01-28T12:41:57-0300 [-] Initializing sensor node - Number of events: 33
2021-01-28T12:41:58-0300 [-] Initializing sensor node - Number of events: 34
2021-01-28T12:41:58-0300 [-] Initializing sensor node - Number of events: 35
2021-01-28T12:41:59-0300 [-] Initializing sensor node - Number of events: 36
2021-01-28T12:41:59-0300 [-] Initializing sensor node - Number of events: 37
2021-01-28T12:42:00-0300 [-] Initializing sensor node - Number of events: 38
2021-01-28T12:42:00-0300 [-] Initializing sensor node - Number of events: 39
2021-01-28T12:42:01-0300 [-] Initializing sensor node - Number of events: 40
2021-01-28T12:42:01-0300 [-] Initializing sensor node - Number of events: 41
2021-01-28T12:42:02-0300 [-] Initializing sensor node - Number of events: 42
2021-01-28T12:42:02-0300 [-] Initializing sensor node - Number of events: 43
2021-01-28T12:42:03-0300 [-] Initializing sensor node - Number of events: 44
2021-01-28T12:42:03-0300 [-] Initializing sensor node - Number of events: 45
2021-01-28T12:42:04-0300 [-] Initializing sensor node - Number of events: 46
2021-01-28T12:42:04-0300 [-] Initializing sensor node - Number of events: 47
2021-01-28T12:42:05-0300 [-] Initializing sensor node - Number of events: 48
2021-01-28T12:42:05-0300 [-] Initializing sensor node - Number of events: 49
2021-01-28T12:42:06-0300 [-] Initializing sensor node - Number of events: 50
2021-01-28T12:42:06-0300 [-] Initializing sensor node - Number of events: 51
2021-01-28T12:42:07-0300 [-] Initializing sensor node - Number of events: 52
2021-01-28T12:42:07-0300 [-] Initializing sensor node - Number of events: 53
2021-01-28T12:42:08-0300 [-] Initializing sensor node - Number of events: 54
2021-01-28T12:42:08-0300 [-] Initializing sensor node - Number of events: 55
2021-01-28T12:42:09-0300 [-] Initializing sensor node - Number of events: 56
2021-01-28T12:42:09-0300 [-] Initializing sensor node - Number of events: 57
2021-01-28T12:42:10-0300 [-] Initializing sensor node - Number of events: 58
2021-01-28T12:42:10-0300 [-] Initializing sensor node - Number of events: 59
2021-01-28T12:42:11-0300 [-] Initializing sensor node - Number of events: 60
2021-01-28T12:42:11-0300 [-] Initializing repeater node - Number of events: 61
2021-01-28T12:42:12-0300 [-] Initializing repeater node - Number of events: 62
2021-01-28T12:42:12-0300 [-] Initializing repeater node - Number of events: 63
2021-01-28T12:42:13-0300 [-] Initializing repeater node - Number of events: 64
2021-01-28T12:42:13-0300 [-] Initializing repeater node - Number of events: 65
2021-01-28T12:42:14-0300 [-] Initializing repeater node - Number of events: 66
2021-01-28T12:42:14-0300 [-] Initializing repeater node - Number of events: 67
2021-01-28T12:42:27-0300 [-] Received SIGINT, shutting down.
