sensor_1,12.0 Kwh
sensor_2,2.94 Kwh
sensor_3,11.53 Kwh
sensor_2,9.87 Kwh
sensor_10,15.61 Kwh
sensor_6,15.27 Kwh
sensor_2,16.83 Kwh
sensor_3,15.3 Kwh
sensor_5,20.0 Kwh
sensor_8,16.67 Kwh
sensor_9,17.31 Kwh
sensor_1,22.07 Kwh
sensor_13,3.45 Kwh
sensor_10,7.44 Kwh
sensor_12,4.03 Kwh
sensor_5,17.02 Kwh
sensor_4,21.08 Kwh
sensor_8,9.46 Kwh
sensor_9,18.09 Kwh
sensor_13,16.8 Kwh
sensor_4,18.27 Kwh
sensor_7,6.6 Kwh
sensor_1,16.18 Kwh
sensor_2,3.54 Kwh
sensor_3,4.01 Kwh
sensor_11,5.16 Kwh
sensor_12,5.93 Kwh
sensor_11,3.78 Kwh
sensor_1,20.67 Kwh
sensor_4,11.04 Kwh
sensor_10,14.08 Kwh
sensor_13,16.73 Kwh
sensor_11,3.01 Kwh
sensor_6,8.67 Kwh
sensor_6,3.48 Kwh
sensor_5,6.57 Kwh
sensor_9,15.02 Kwh
sensor_3,18.94 Kwh
sensor_13,16.14 Kwh
sensor_8,18.24 Kwh
sensor_1,22.25 Kwh
sensor_4,16.18 Kwh
sensor_9,5.47 Kwh
sensor_5,7.83 Kwh
sensor_7,9.26 Kwh
sensor_7,13.4 Kwh
sensor_12,4.21 Kwh
sensor_8,5.62 Kwh
sensor_3,15.7 Kwh
sensor_10,13.01 Kwh
sensor_2,13.92 Kwh
sensor_2,2.61 Kwh
