2020-06-04T11:15:50-0300 [-] Creating router ...
2020-06-04T11:15:50-0300 [-] Initializing Router - Number of events: 1
2020-06-04T11:15:51-0300 [-] RouterFactory starting on 8081
2020-06-04T11:15:51-0300 [-] Creating AccessPoint station ...
2020-06-04T11:15:51-0300 [-] Initializing Access Point - Number of events: 2
2020-06-04T11:15:51-0300 [-] Initializing Server - Number of events: 3
2020-06-04T11:15:52-0300 [-] BrokerFactory starting on 5100
2020-06-04T11:15:52-0300 [-] Initializing sensor node - Number of events: 4
2020-06-04T11:15:52-0300 [stdout#info] None
2020-06-04T11:15:52-0300 [stdout#info] This divice have no simulation core instance
2020-06-04T11:15:55-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:15:58-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:16:01-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:16:04-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:16:07-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:16:10-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:16:13-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:16:16-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:16:19-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:16:22-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:16:25-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:16:28-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:16:31-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:16:34-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:16:37-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:16:40-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:16:43-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:16:46-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:16:49-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:16:52-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:16:55-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:16:58-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:17:01-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:17:04-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:17:07-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:17:10-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:17:13-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:17:16-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:17:19-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:17:22-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:17:25-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:17:28-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:17:31-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:17:34-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:17:37-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:17:40-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:17:43-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:17:46-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:17:49-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:17:52-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:17:55-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:17:58-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:18:01-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:18:04-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:18:07-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:18:10-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:18:13-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:18:16-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:18:19-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:18:22-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:18:25-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:18:28-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:18:31-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:18:34-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:18:37-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:18:40-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:18:43-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:18:46-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:18:49-0300 [stdout#info] <applications.accesspointapp.AccessPointApp object at 0x7f4524de3f60>
2020-06-04T11:18:51-0300 [-] Received SIGINT, shutting down.
2020-06-04T11:18:51-0300 [applications.mqttapp.BrokerFactory] (TCP Port 5100 Closed)
2020-06-04T11:18:51-0300 [applications.routerapp.RouterFactory] (TCP Port 8081 Closed)
2020-06-04T11:18:51-0300 [-] Main loop terminated.
