2020-06-04T11:29:33-0300 [-] Creating router ...
2020-06-04T11:29:33-0300 [-] Initializing Router - Number of events: 1
2020-06-04T11:29:34-0300 [-] RouterFactory starting on 8081
2020-06-04T11:29:34-0300 [-] Creating AccessPoint station ...
2020-06-04T11:29:34-0300 [-] Initializing Access Point - Number of events: 2
2020-06-04T11:29:34-0300 [stdout#info] cont <bound method AccessPointApp.print_associated_devices of <applications.accesspointapp.AccessPointApp object at 0x7f0f52062f28>>
2020-06-04T11:29:34-0300 [-] Initializing Server - Number of events: 3
2020-06-04T11:29:35-0300 [-] BrokerFactory starting on 5100
2020-06-04T11:29:35-0300 [-] Initializing sensor node - Number of events: 4
2020-06-04T11:29:35-0300 [stdout#info] cont <bound method AccessPointApp.print_associated_devices of <applications.accesspointapp.AccessPointApp object at 0x7f0f52062f28>>
2020-06-04T11:29:35-0300 [stdout#info] This divice have no simulation core instance
2020-06-04T11:29:36-0300 [stdout#info] cont <bound method AccessPointApp.print_associated_devices of <applications.accesspointapp.AccessPointApp object at 0x7f0f52062f28>>
2020-06-04T11:29:36-0300 [stdout#info] cont <bound method AccessPointApp.print_associated_devices of <applications.accesspointapp.AccessPointApp object at 0x7f0f52062f28>>
2020-06-04T11:29:36-0300 [stdout#info] cont <bound method AccessPointApp.print_associated_devices of <applications.accesspointapp.AccessPointApp object at 0x7f0f52062f28>>
2020-06-04T11:29:36-0300 [stdout#info] cont <bound method AccessPointApp.print_associated_devices of <applications.accesspointapp.AccessPointApp object at 0x7f0f52062f28>>
2020-06-04T11:29:36-0300 [stdout#info] cont <bound method AccessPointApp.print_associated_devices of <applications.accesspointapp.AccessPointApp object at 0x7f0f52062f28>>
2020-06-04T11:29:36-0300 [stdout#info] cont <bound method AccessPointApp.print_associated_devices of <applications.accesspointapp.AccessPointApp object at 0x7f0f52062f28>>
2020-06-04T11:29:36-0300 [stdout#info] cont <bound method AccessPointApp.print_associated_devices of <applications.accesspointapp.AccessPointApp object at 0x7f0f52062f28>>
2020-06-04T11:29:36-0300 [stdout#info] cont <bound method AccessPointApp.print_associated_devices of <applications.accesspointapp.AccessPointApp object at 0x7f0f52062f28>>
2020-06-04T11:29:36-0300 [stdout#info] cont <bound method AccessPointApp.print_associated_devices of <applications.accesspointapp.AccessPointApp object at 0x7f0f52062f28>>
2020-06-04T11:29:37-0300 [stdout#info] cont <bound method AccessPointApp.print_associated_devices of <applications.accesspointapp.AccessPointApp object at 0x7f0f52062f28>>
