MQTT_ACK
MQTT_ACK218745342234214
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 13.35 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 13.35 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 13.35 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 17.39 Kwh },{ source: sensor_1, data: 14.84 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 17.39 Kwh },{ source: sensor_1, data: 14.84 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 20.47 Kwh },{ source: sensor_3, data: 19.28 Kwh },{ source: sensor_4, data: 16.9 Kwh },{ source: sensor_1, data: 14.84 Kwh },{ source: sensor_3, data: 17.39 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 16.9 Kwh },{ source: sensor_3, data: 19.28 Kwh },{ source: sensor_1, data: 20.47 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 19.28 Kwh },{ source: sensor_1, data: 20.47 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 4.04 Kwh },{ source: sensor_3, data: 11.44 Kwh },{ source: sensor_4, data: 13.12 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 4.04 Kwh },{ source: sensor_4, data: 13.12 Kwh },{ source: sensor_3, data: 11.44 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 11.44 Kwh },{ source: sensor_1, data: 4.04 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 8.48 Kwh },{ source: sensor_3, data: 14.55 Kwh },{ source: sensor_4, data: 13.26 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 14.55 Kwh },{ source: sensor_1, data: 8.48 Kwh },{ source: sensor_4, data: 13.26 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 8.48 Kwh },{ source: sensor_3, data: 14.55 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 6.2 Kwh },{ source: sensor_4, data: 19.67 Kwh },{ source: sensor_3, data: 17.89 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 17.89 Kwh },{ source: sensor_4, data: 19.67 Kwh },{ source: sensor_1, data: 6.2 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 17.89 Kwh },{ source: sensor_1, data: 6.2 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 18.88 Kwh },{ source: sensor_4, data: 17.31 Kwh },{ source: sensor_1, data: 6.22 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 18.88 Kwh },{ source: sensor_1, data: 6.22 Kwh },{ source: sensor_4, data: 17.31 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 6.22 Kwh },{ source: sensor_3, data: 18.88 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 3.25 Kwh },{ source: sensor_3, data: 20.18 Kwh },{ source: sensor_1, data: 18.92 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 18.92 Kwh },{ source: sensor_3, data: 20.18 Kwh },{ source: sensor_4, data: 3.25 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 20.18 Kwh },{ source: sensor_1, data: 18.92 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 21.91 Kwh },{ source: sensor_4, data: 14.44 Kwh },{ source: sensor_1, data: 18.8 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 18.8 Kwh },{ source: sensor_3, data: 21.91 Kwh },{ source: sensor_4, data: 14.44 Kwh }]'}
