MQTT_ACK
MQTT_ACK227260988633750
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 15.44 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 12.71 Kwh },{ source: sensor_3, data: 17.82 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 4.31 Kwh },{ source: sensor_1, data: 7.35 Kwh },{ source: sensor_4, data: 15.91 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 9.62 Kwh },{ source: sensor_3, data: 8.09 Kwh },{ source: sensor_4, data: 18.49 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 17.68 Kwh },{ source: sensor_3, data: 17.03 Kwh },{ source: sensor_4, data: 12.31 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 18.09 Kwh },{ source: sensor_1, data: 7.4 Kwh },{ source: sensor_3, data: 20.47 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 4.57 Kwh },{ source: sensor_3, data: 8.19 Kwh },{ source: sensor_1, data: 2.9 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 17.7 Kwh },{ source: sensor_4, data: 10.4 Kwh },{ source: sensor_3, data: 13.67 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 12.93 Kwh },{ source: sensor_4, data: 9.01 Kwh },{ source: sensor_1, data: 4.88 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 11.99 Kwh },{ source: sensor_3, data: 21.67 Kwh },{ source: sensor_4, data: 13.5 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 16.81 Kwh },{ source: sensor_3, data: 9.03 Kwh },{ source: sensor_1, data: 4.25 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 20.54 Kwh },{ source: sensor_4, data: 19.55 Kwh },{ source: sensor_3, data: 17.39 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 5.3 Kwh },{ source: sensor_4, data: 12.14 Kwh },{ source: sensor_1, data: 17.65 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 6.51 Kwh },{ source: sensor_3, data: 3.11 Kwh },{ source: sensor_4, data: 4.36 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 15.51 Kwh },{ source: sensor_4, data: 21.14 Kwh },{ source: sensor_3, data: 15.6 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 8.62 Kwh },{ source: sensor_1, data: 16.86 Kwh },{ source: sensor_3, data: 19.66 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 12.69 Kwh },{ source: sensor_4, data: 22.03 Kwh },{ source: sensor_3, data: 20.01 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 12.22 Kwh },{ source: sensor_1, data: 13.09 Kwh },{ source: sensor_3, data: 8.71 Kwh }]'}
