MQTT_ACK
MQTT_ACK95681703593951
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 3.34 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 7.03 Kwh },{ source: sensor_3, data: 17.6 Kwh },{ source: sensor_1, data: 7.48 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 12.15 Kwh },{ source: sensor_4, data: 6.37 Kwh },{ source: sensor_1, data: 11.72 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 18.31 Kwh },{ source: sensor_3, data: 13.3 Kwh },{ source: sensor_4, data: 7.99 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 13.04 Kwh },{ source: sensor_3, data: 4.92 Kwh },{ source: sensor_4, data: 11.78 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 14.73 Kwh },{ source: sensor_3, data: 16.72 Kwh },{ source: sensor_1, data: 8.38 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 21.07 Kwh },{ source: sensor_4, data: 17.87 Kwh },{ source: sensor_1, data: 12.2 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 9.78 Kwh },{ source: sensor_4, data: 18.22 Kwh },{ source: sensor_1, data: 19.62 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 6.65 Kwh },{ source: sensor_1, data: 4.87 Kwh },{ source: sensor_4, data: 11.1 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 13.25 Kwh },{ source: sensor_1, data: 5.12 Kwh },{ source: sensor_4, data: 9.45 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 4.87 Kwh },{ source: sensor_3, data: 17.6 Kwh },{ source: sensor_4, data: 11.17 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 9.28 Kwh },{ source: sensor_1, data: 15.14 Kwh },{ source: sensor_3, data: 8.73 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 18.61 Kwh },{ source: sensor_1, data: 5.94 Kwh },{ source: sensor_4, data: 10.67 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 4.66 Kwh },{ source: sensor_4, data: 19.98 Kwh },{ source: sensor_1, data: 9.14 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 2.77 Kwh },{ source: sensor_1, data: 5.93 Kwh },{ source: sensor_4, data: 16.5 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_4, data: 19.71 Kwh },{ source: sensor_1, data: 10.3 Kwh },{ source: sensor_3, data: 19.85 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 13.3 Kwh },{ source: sensor_4, data: 14.22 Kwh },{ source: sensor_1, data: 18.78 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 12.51 Kwh },{ source: sensor_4, data: 19.53 Kwh },{ source: sensor_1, data: 15.98 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 20.84 Kwh },{ source: sensor_4, data: 2.69 Kwh },{ source: sensor_1, data: 17.55 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 12.72 Kwh },{ source: sensor_1, data: 17.63 Kwh },{ source: sensor_4, data: 17.64 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_3, data: 4.65 Kwh },{ source: sensor_4, data: 20.42 Kwh },{ source: sensor_1, data: 12.24 Kwh }]'}
{'action': 'publish', 'topic': 'sensor_metering', 'content': '[{ source: sensor_1, data: 4.69 Kwh },{ source: sensor_3, data: 17.99 Kwh },{ source: sensor_4, data: 3.2 Kwh }]'}
