[{'source': 'sensor_3', 'data': '7.86 Kwh'}, {'source': 'sensor_1', 'data': '4.37 Kwh'}]
[{'source': 'sensor_4', 'data': '3.06 Kwh'}, {'source': 'sensor_1', 'data': '15.62 Kwh'}, {'source': 'sensor_3', 'data': '5.54 Kwh'}]
[{'source': 'sensor_4', 'data': '5.07 Kwh'}, {'source': 'sensor_3', 'data': '8.17 Kwh'}, {'source': 'sensor_1', 'data': '15.27 Kwh'}]
[{'source': 'sensor_1', 'data': '12.56 Kwh'}, {'source': 'sensor_4', 'data': '7.32 Kwh'}, {'source': 'sensor_3', 'data': '12.89 Kwh'}]
[{'source': 'sensor_1', 'data': '17.41 Kwh'}, {'source': 'sensor_3', 'data': '17.28 Kwh'}, {'source': 'sensor_4', 'data': '4.79 Kwh'}]
[{'source': 'sensor_3', 'data': '7.73 Kwh'}, {'source': 'sensor_4', 'data': '7.25 Kwh'}, {'source': 'sensor_1', 'data': '18.99 Kwh'}]
[{'source': 'sensor_3', 'data': '15.37 Kwh'}, {'source': 'sensor_1', 'data': '15.61 Kwh'}, {'source': 'sensor_4', 'data': '10.6 Kwh'}]
[{'source': 'sensor_1', 'data': '10.74 Kwh'}, {'source': 'sensor_4', 'data': '10.16 Kwh'}, {'source': 'sensor_3', 'data': '10.1 Kwh'}]
[{'source': 'sensor_4', 'data': '22.15 Kwh'}, {'source': 'sensor_3', 'data': '19.94 Kwh'}, {'source': 'sensor_1', 'data': '17.43 Kwh'}]
[{'source': 'sensor_3', 'data': '6.41 Kwh'}, {'source': 'sensor_4', 'data': '8.92 Kwh'}, {'source': 'sensor_1', 'data': '7.33 Kwh'}]
[{'source': 'sensor_4', 'data': '14.48 Kwh'}, {'source': 'sensor_1', 'data': '11.93 Kwh'}, {'source': 'sensor_3', 'data': '18.57 Kwh'}]
[{'source': 'sensor_1', 'data': '3.05 Kwh'}, {'source': 'sensor_3', 'data': '4.54 Kwh'}, {'source': 'sensor_4', 'data': '11.52 Kwh'}]
[{'source': 'sensor_3', 'data': '5.91 Kwh'}, {'source': 'sensor_4', 'data': '20.94 Kwh'}, {'source': 'sensor_1', 'data': '12.16 Kwh'}]
[{'source': 'sensor_3', 'data': '21.82 Kwh'}, {'source': 'sensor_4', 'data': '9.05 Kwh'}, {'source': 'sensor_1', 'data': '6.89 Kwh'}]
[{'source': 'sensor_3', 'data': '8.92 Kwh'}, {'source': 'sensor_4', 'data': '15.63 Kwh'}, {'source': 'sensor_1', 'data': '19.0 Kwh'}]
[{'source': 'sensor_1', 'data': '20.32 Kwh'}, {'source': 'sensor_4', 'data': '15.28 Kwh'}, {'source': 'sensor_3', 'data': '8.83 Kwh'}]
