sensor_1,7.37 Kwh
sensor_3,12.89 Kwh
sensor_1,4.99 Kwh
sensor_3,9.3 Kwh
sensor_3,21.54 Kwh
sensor_1,20.89 Kwh
sensor_1,12.68 Kwh
sensor_3,9.01 Kwh
sensor_4,17.83 Kwh
sensor_3,17.09 Kwh
sensor_4,5.43 Kwh
sensor_4,2.52 Kwh
sensor_1,20.44 Kwh
sensor_3,5.87 Kwh
sensor_3,11.3 Kwh
sensor_4,9.35 Kwh
sensor_1,10.61 Kwh
sensor_1,15.22 Kwh
sensor_4,7.56 Kwh
sensor_1,12.88 Kwh
sensor_4,3.09 Kwh
sensor_1,3.35 Kwh
sensor_4,3.67 Kwh
sensor_4,19.39 Kwh
sensor_4,15.13 Kwh
sensor_4,18.04 Kwh
sensor_1,15.66 Kwh
sensor_1,13.78 Kwh
